proximity_pct,total_trades,win_rate,profit_factor,total_return,expectancy,avg_win,avg_loss,max_consecutive_wins,max_consecutive_losses,total_original_trades,filtered_trades,trades_kept_pct,bars_near_ema,bars_near_ema_pct,proximity_threshold,wr_norm,pf_norm,exp_norm,composite_score
0.5,37,45.94594594594595,0.5652554170380276,-4.9441759322666545,-13.36263765477474,37.814255001407304,56.86299641252948,5,6,181,37,20.441988950276244,1081,21.62,0.5,45.94594594594595,28.26277085190138,0.0,29.683486719138934
0.75,58,50.0,0.6739315844770973,-5.489196140979128,-9.46413127755022,39.12170994759031,58.049972502690736,7,5,181,58,32.04419889502763,1626,32.519999999999996,0.75,50.0,33.69657922385487,14.587338510340828,36.396099391610115
1.0,74,50.0,0.7117213271784235,-6.197465421685961,-8.374953272548595,41.35326973622336,58.103176281320565,7,7,181,74,40.88397790055249,2124,42.480000000000004,1.0,50.0,35.58606635892117,18.662798884035986,37.96698632037567
1.25,103,51.45631067961165,0.7625433109304711,-6.798664549387465,-6.600645193580062,41.19342015359925,57.26235446159014,9,4,181,103,56.9060773480663,2637,52.739999999999995,1.25,51.45631067961165,38.12716554652356,25.301862685689457,40.89376302759198
1.5,112,54.46428571428571,0.8619908035627847,-4.0501677601006385,-3.61622121437557,41.470357811507206,57.54330593160791,9,4,181,112,61.87845303867403,3057,61.14000000000001,1.5,54.46428571428571,43.099540178139236,36.46890940321419,46.31931223761282
1.75,130,55.38461538461539,0.9151288155626559,-2.7950105496396325,-2.1500081151074095,41.85746497821343,56.77997471371259,11,6,181,130,71.8232044198895,3462,69.24,1.75,55.38461538461539,45.7564407781328,41.95515073201447,48.84745261150218
2.0,146,55.47945205479452,0.9347590637410575,-2.4132307603709005,-1.6528977810759593,42.6867738832813,56.90695016281345,12,5,181,146,80.66298342541437,3823,76.46,2.0,55.47945205479452,46.73795318705288,43.8152263655621,49.65000736985138
2.25,156,54.48717948717948,0.8998061531716749,-4.050568214284722,-2.59651808607995,42.79617277707425,56.9398803870392,13,6,181,156,86.1878453038674,4069,81.38,2.25,54.48717948717948,44.990307658583745,40.28441033439172,47.84787692518364
2.5,160,55.00000000000001,0.9199734630263673,-3.2786115519687007,-2.049132219980438,42.83004876552704,56.90146453560068,13,6,181,160,88.39779005524862,4238,84.76,2.5,55.00000000000001,45.998673151318364,42.332605758982616,48.86599041232388
2.75,165,56.36363636363636,0.9945573968026732,-0.2229783068261004,-0.1351383677733942,43.812985116996124,56.90146453560068,15,6,181,165,91.16022099447514,4382,87.64,2.75,56.36363636363636,49.72786984013366,49.49434246716588,52.33547097494119
3.0,170,56.470588235294116,1.0077107320360996,0.325845086634656,0.19167358037332705,44.35884368231859,57.10627682215025,7,6,181,170,93.92265193370166,4510,90.2,3.0,56.470588235294116,50.38553660180498,50.71719964772388,52.88588986438442
3.25,174,55.74712643678161,0.9804463846194267,-0.8611858619310223,-0.49493440340863354,44.516594970124885,57.19777010773009,7,6,181,174,96.13259668508287,4599,91.97999999999999,3.25,55.74712643678161,49.022319230971334,48.14806621194363,51.53739150948991
3.5,175,56.00000000000001,0.9882649696126342,-0.516837529133901,-0.2953357309336578,44.413719850834966,57.19777010773009,7,6,181,175,96.68508287292818,4676,93.52000000000001,3.5,56.00000000000001,49.41324848063171,48.894919780945614,51.944283348441814
3.75,175,56.00000000000001,0.9882649696126342,-0.516837529133901,-0.2953357309336578,44.413719850834966,57.19777010773009,7,6,181,175,96.68508287292818,4726,94.52000000000001,3.75,56.00000000000001,49.41324848063171,48.894919780945614,51.944283348441814
4.0,177,56.49717514124294,1.012395173344166,0.5459117320465087,0.3084247073709089,44.58819471499868,57.19777010773009,7,6,181,177,97.79005524861878,4770,95.39999999999999,4.0,56.49717514124294,50.6197586672083,51.1540562400145,53.0775847713834
4.25,177,56.49717514124294,1.012395173344166,0.5459117320465087,0.3084247073709089,44.58819471499868,57.19777010773009,7,6,181,177,97.79005524861878,4803,96.06,4.25,56.49717514124294,50.6197586672083,51.1540562400145,53.0775847713834
4.5,177,56.49717514124294,1.012395173344166,0.5459117320465087,0.3084247073709089,44.58819471499868,57.19777010773009,7,6,181,177,97.79005524861878,4834,96.67999999999999,4.5,56.49717514124294,50.6197586672083,51.1540562400145,53.0775847713834
4.75,177,56.49717514124294,1.012395173344166,0.5459117320465087,0.3084247073709089,44.58819471499868,57.19777010773009,7,6,181,177,97.79005524861878,4850,97.0,4.75,56.49717514124294,50.6197586672083,51.1540562400145,53.0775847713834
5.0,177,56.49717514124294,1.012395173344166,0.5459117320465087,0.3084247073709089,44.58819471499868,57.19777010773009,7,6,181,177,97.79005524861878,4853,97.06,5.0,56.49717514124294,50.6197586672083,51.1540562400145,53.0775847713834
