timestamp,Close,High,Low,trade_count,Open,Volume,vwap,symbol
2023-01-11 23:00:00+00:00,17934.99,17988.76,17545.4,16659,17551.92,1617.590831794,17822.904164,BTC/USD
2023-01-12 00:00:00+00:00,18243.38,18286.07,17899.97,13339,17936.52,1295.713287168,17988.682465,BTC/USD
2023-01-12 01:00:00+00:00,18220.35,18274.85,18134.62,14134,18238.23,1429.406967361,18188.32333,BTC/USD
2023-01-12 02:00:00+00:00,18200.95,18350.0,18176.05,10861,18217.92,1108.085354586,18245.416815,BTC/USD
2023-01-12 13:00:00+00:00,18281.21,18383.35,17976.24,19162,18261.75,2226.807299156,18196.102275,BTC/USD
2023-01-12 14:00:00+00:00,17990.79,18346.65,17919.62,22299,18281.21,2609.175195213,18142.31507,BTC/USD
2023-01-12 15:00:00+00:00,18082.51,18133.04,17981.41,14798,17990.43,1679.967496261,18077.75001,BTC/USD
2023-01-12 17:00:00+00:00,18829.98,18836.94,18100.95,21216,18126.83,1822.890833582,18499.130627,BTC/USD
2023-01-12 18:00:00+00:00,18791.94,18951.14,18600.0,22429,18830.0,1725.376679234,18769.123529,BTC/USD
2023-01-13 14:00:00+00:00,18991.91,19130.0,18829.88,11285,18851.62,1118.641054171,18970.277868,BTC/USD
2023-01-13 15:00:00+00:00,19257.35,19300.1,18986.01,18844,18990.15,2214.32420575,19165.339957,BTC/USD
2023-01-13 17:00:00+00:00,19248.67,19390.37,19106.42,10855,19131.74,1112.262041533,19279.541085,BTC/USD
2023-01-13 21:00:00+00:00,19803.06,19945.17,19373.95,18541,19472.26,1700.311576894,19662.90098,BTC/USD
2023-01-14 00:00:00+00:00,20891.67,21239.83,19883.7,35024,19924.14,2832.752749813,20505.205487,BTC/USD
2023-01-14 01:00:00+00:00,20917.92,21050.0,20681.55,22723,20899.49,1405.630138045,20886.576254,BTC/USD
2023-01-14 09:00:00+00:00,20512.16,21002.07,20298.39,18813,20995.34,1018.969172916,20531.900888,BTC/USD
2023-01-20 20:00:00+00:00,22298.8,22355.0,21490.54,22472,21498.98,1291.452946703,21963.416697,BTC/USD
2023-02-01 19:00:00+00:00,23385.3,23496.88,22799.97,24577,23080.0,1281.857773188,23179.01222,BTC/USD
2023-02-01 20:00:00+00:00,23568.59,23662.05,23320.24,15095,23391.74,1079.605977126,23481.415218,BTC/USD
2023-02-02 00:00:00+00:00,24195.21,24250.0,23704.63,19568,23740.95,1193.821672535,23977.204921,BTC/USD
2023-02-09 03:00:00+00:00,22523.2,22816.16,22456.63,21833,22808.78,1330.936656667,22575.152029,BTC/USD
2023-02-09 19:00:00+00:00,22036.05,22528.65,21890.12,17006,22515.58,1057.876461203,22174.068553,BTC/USD
2023-02-14 14:00:00+00:00,22244.72,22260.0,21580.97,18733,21733.86,1301.88077643,21839.601959,BTC/USD
2023-02-15 19:00:00+00:00,23325.78,23347.68,22949.02,15531,22976.47,1018.90890834,23207.833003,BTC/USD
2023-02-15 20:00:00+00:00,24151.11,24297.25,23303.23,30867,23328.15,1822.963856646,23845.238012,BTC/USD
2023-02-16 00:00:00+00:00,24585.33,24902.49,24280.96,27774,24327.6,1569.625892627,24621.773432,BTC/USD
2023-02-21 08:00:00+00:00,24694.2,25250.0,24625.54,19891,24998.57,1044.165187603,24910.14737,BTC/USD
2023-02-22 19:00:00+00:00,23793.05,23977.14,23639.22,21371,23745.47,1132.506742116,23822.478467,BTC/USD
2023-02-24 15:00:00+00:00,23350.72,23843.41,23329.62,24082,23806.73,1118.807860816,23543.017886,BTC/USD
2023-02-24 16:00:00+00:00,23196.53,23351.37,22928.45,25370,23347.58,1073.638350461,23158.301043,BTC/USD
2023-03-03 01:00:00+00:00,22169.4,23426.43,22001.0,22726,23421.53,1155.568684248,22554.952461,BTC/USD
2023-03-07 15:00:00+00:00,22318.4,22481.2,21936.13,23186,22304.37,1762.81833048,22198.993315,BTC/USD
2023-03-09 20:00:00+00:00,20138.21321655,20862.39425,20100.0,28023,20847.17,1541.260876258,20548.199558,BTC/USD
2023-03-10 01:00:00+00:00,20110.08095718,20159.03,19775.37,27381,20121.81,1408.551581868,20005.066222,BTC/USD
2023-03-10 13:00:00+00:00,20188.39092668,21346.119749652,18700.7425,22226,19933.64,1016.289017682,20084.058396,BTC/USD
2023-03-10 14:00:00+00:00,19827.8820435,20193.17,19659.46,28092,20183.1,1220.094638995,19920.527828,BTC/USD
2023-03-12 18:00:00+00:00,21381.3113495,23131.25,20948.95,27570,21011.13,1228.199769324,21306.678228,BTC/USD
2023-03-12 22:00:00+00:00,21870.2851012,22442.63,21310.93,30725,21477.62,1048.943805247,21753.90889,BTC/USD
2023-03-13 00:00:00+00:00,22630.3516505,23491.85,22055.9774869,33597,22187.99,1157.763381617,22383.203669,BTC/USD
2023-03-13 13:00:00+00:00,22545.5327785,22647.51,22165.58,44174,22170.56,1400.261375399,22465.328777,BTC/USD
2023-03-13 14:00:00+00:00,23582.296304195,23601.2,22469.87,38621,22553.06,1195.360397131,23252.644369,BTC/USD
2023-03-13 15:00:00+00:00,24027.2980385,24577.92,23569.63943085,36427,23596.13,1388.555465008,24198.095664,BTC/USD
2023-03-14 05:00:00+00:00,24433.34266737,24929.5,24337.0,24525,24540.48,1075.033756999,24556.618261,BTC/USD
2023-03-14 12:00:00+00:00,25958.31385,26185.33680625,24650.0,35031,24857.58,1633.225373905,25229.522503,BTC/USD
2023-03-14 13:00:00+00:00,25801.94747545,26476.04,25663.64,28845,25945.19,1428.834103276,26090.980984,BTC/USD
2023-03-14 18:00:00+00:00,25027.6865,25715.85,24900.0,22646,25696.56,1194.185688737,25358.203903,BTC/USD
2023-03-14 19:00:00+00:00,25062.9332165,25167.63,24200.0,40627,25022.41,1836.74319133,24696.402564,BTC/USD
2023-03-14 20:00:00+00:00,24616.81815676,25200.71704639,24542.53,25418,25067.13,1042.322733634,24865.879128,BTC/USD
2023-03-14 21:00:00+00:00,24603.4578274,24672.91434927,24000.0,29052,24620.57,1056.013578155,24403.484699,BTC/USD
2023-03-15 12:00:00+00:00,24934.25075,25307.014951875,24536.48,40998,24868.62,1559.367767433,24859.183935,BTC/USD
2023-03-15 13:00:00+00:00,24879.79728215,25251.3456273,24836.91,32401,24935.68,1412.196334822,25031.904181,BTC/USD
2023-03-15 14:00:00+00:00,24782.420667,25043.45643,24488.04,35155,24875.92,1464.521032048,24779.383606,BTC/USD
2023-03-15 15:00:00+00:00,24529.61350334,24890.30703541,24438.452005,27943,24779.8,1360.409875846,24664.674351,BTC/USD
2023-03-15 16:00:00+00:00,24161.05,24591.33,24107.72,35706,24542.03,1884.578548501,24316.258517,BTC/USD
2023-03-15 17:00:00+00:00,24336.39646768,24408.17,23930.0,29965,24153.06,1542.861315892,24240.160807,BTC/USD
2023-03-15 18:00:00+00:00,24480.032015,24564.64,24191.77183885,26887,24338.95,1109.680950338,24391.636846,BTC/USD
2023-03-16 10:00:00+00:00,25015.604847,25137.21,24647.44,28767,24733.08,1159.97686238,24919.321793,BTC/USD
2023-03-17 01:00:00+00:00,25752.1922735,25780.07,24953.41664955,20664,24965.02,1044.72169106,25387.810454,BTC/USD
2023-03-17 02:00:00+00:00,25617.37832348,25964.0,25529.7632901,23576,25722.23,1296.277599971,25793.662689,BTC/USD
2023-03-17 22:00:00+00:00,27593.954594175,27830.0,27035.03,30472,27157.92,1179.883370135,27473.825529,BTC/USD
2023-03-18 16:00:00+00:00,27411.8844229,27533.192963,26657.61,34637,27317.68,1050.870447101,27185.219107,BTC/USD
2023-03-19 20:00:00+00:00,27988.824562,28464.43,27822.83,25973,28340.8,1198.037748347,28122.83361,BTC/USD
2023-03-22 15:00:00+00:00,28634.5690234,28780.0,28492.58,31458,28614.3,1071.621095282,28673.383111,BTC/USD
2023-03-22 17:00:00+00:00,28508.5182965,28714.47,28356.01,28168,28710.39,1068.014425961,28481.822737,BTC/USD
2023-03-22 18:00:00+00:00,28087.337878,28900.0,27815.86,110487,28520.94,2590.440146686,28401.638481,BTC/USD
2023-03-22 19:00:00+00:00,26743.62922955,28128.32,26717.66,108121,28088.36,3109.74146382,27369.078353,BTC/USD
2023-03-22 20:00:00+00:00,27410.119575745,27478.531128,26685.0,47484,26746.89,1443.419868351,27116.681488,BTC/USD
2023-03-23 15:00:00+00:00,28610.4134425,28772.68,28031.91,83640,28076.94,1949.405335023,28461.12362,BTC/USD
2023-03-23 18:00:00+00:00,27970.910882,28443.81,27844.03,30296,28342.78,1067.929856504,28193.171002,BTC/USD
2023-03-23 19:00:00+00:00,28440.0312505,28511.68,27829.42295,59973,27970.79,1504.271772788,28112.741366,BTC/USD
2023-03-24 14:00:00+00:00,28027.90924,28309.36,27839.31,42387,27987.53,1110.81617115,28079.730123,BTC/USD
2023-03-24 17:00:00+00:00,27642.429275,27942.7,27548.96,40374,27867.33,1235.723154824,27730.224569,BTC/USD
2023-03-25 19:00:00+00:00,27222.277974,27488.95,27200.33,20167,27488.4,1019.898825238,27307.1095,BTC/USD
2023-03-27 14:00:00+00:00,26962.20021885,27764.3852537,26962.20021885,48588,27717.2,1758.297737572,27392.33,BTC/USD
2023-03-27 15:00:00+00:00,26916.725698275,27042.93,26540.0,66886,26969.92,1793.515769023,26841.953584,BTC/USD
2023-03-27 16:00:00+00:00,27172.83088,27333.66,26876.22,28675,26925.55,1155.648286652,27175.842424,BTC/USD
2023-03-29 08:00:00+00:00,28514.6638598,28655.51,28043.47,46066,28098.9,1156.325587605,28429.265617,BTC/USD
2023-03-30 02:00:00+00:00,28968.214183811,29189.54,28345.67,79084,28359.21,2171.777361027,28900.711871,BTC/USD
2023-03-30 03:00:00+00:00,28498.2295,29009.44,28132.57,57382,28970.8,1684.012380947,28533.163877,BTC/USD
2023-03-30 14:00:00+00:00,28439.408085825,28561.79,28278.69,28397,28537.23,1153.24766821,28419.162662,BTC/USD
2023-03-30 17:00:00+00:00,27877.951110325,28298.9378182,27767.52,32495,28263.19,1046.392948302,27972.167654,BTC/USD
2023-04-03 08:00:00+00:00,28343.78685,28467.006917,27971.7365009,22079,27975.89,1315.337723307,28294.138375,BTC/USD
2023-04-05 15:00:00+00:00,28100.83603238,28179.29899506,27867.63,16258,28121.1,1125.809416841,28028.957636,BTC/USD
2023-04-10 17:00:00+00:00,29171.424355,29310.1,29018.71,15339,29058.03,1444.215595559,29152.030939,BTC/USD
2023-04-11 02:00:00+00:00,30097.866283,30442.56,30016.21,14342,30210.8,1028.786178724,30223.853553,BTC/USD
2023-04-11 19:00:00+00:00,30141.591279855,30566.97,30109.61,13485,30237.66,1024.141885213,30302.441014,BTC/USD
2023-04-19 08:00:00+00:00,29202.29104059,30206.2557801155,29018.71,46136,30100.09,2347.353039197,29371.867494,BTC/USD
