Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,298.57867431640625,298.59707369212856,296.4280509440613,297.35632188751407,59151200
2020-01-03,296.3177185058594,297.44818606290164,295.1137376014159,295.16887962392286,77709700
2020-01-06,297.4482421875,297.5309552368674,294.4336614665753,294.5531452204936,55653900
2020-01-07,296.6118469238281,297.35629232301494,296.1614829808418,296.87835736701527,40496400
2020-01-08,298.192626953125,299.41497916417444,296.5566815316368,296.8048206292058,68296000
2020-01-09,300.2147216796875,300.2882631118195,299.17616632157,299.7643855872727,48473300
2020-01-10,299.3506774902344,300.9590521159792,298.8819702432544,300.80282571626174,53029300
2020-01-13,301.409423828125,301.418595467985,299.5437103362365,299.9756749401628,47086800
2020-01-14,300.94989013671875,302.0251877856642,300.3892420928779,300.96826146438474,62832800
2020-01-15,301.6300048828125,302.39282170228535,300.7752753260005,300.85798837525687,72056600
2020-01-16,304.1390075683594,304.1390075683594,302.78797198801493,303.01773975305434,54050300
2020-01-17,305.0856628417969,305.297031244174,304.07467902230604,304.8558950668137,95846000
2020-01-21,304.4882507324219,305.29703780539637,304.047114545581,304.1206278941129,77742400
2020-01-22,304.5250549316406,306.004774181987,304.36882853088946,305.3522134207883,48914900
2020-01-23,304.8742980957031,305.2878913528124,302.7512458779067,303.87251385833906,51963000
2020-01-24,302.1630859375,305.6188032836752,300.8671919326843,305.53609022564433,87578400
2020-01-27,297.3194885253906,298.80837915802067,296.54747219913145,296.88752400438364,84062500
2020-01-28,300.4352111816406,301.3175117188692,297.411458947893,298.7532951052364,63834000
2020-01-29,300.1869812011719,302.0343229829001,299.984784448705,301.80455522090693,53888900
2020-01-30,301.1612243652344,301.3726208246104,297.35628443124244,298.1099014495489,75491800
2020-01-31,295.69281005859375,300.6925600156886,294.7737387877723,300.53630555860406,113845600
2020-02-03,297.88934326171875,299.76425630272183,297.06218481792587,297.1816685577298,69083000
2020-02-04,302.42950439453125,303.3026330734131,301.19795260651244,301.51963306967,62573200
2020-02-05,305.92193603515625,306.1333324460902,303.90919650417135,305.37968755265837,65951100
2020-02-06,306.95147705078125,307.14447419187934,305.86695147966657,306.8871353211374,50359700
2020-02-07,305.3154296875,306.96054675693904,304.763981419654,305.8852492800721,64139400
2020-02-10,307.5947570800781,307.6590987986097,304.3872074151827,304.42397811831904,42070000
2020-02-11,308.1278381347656,309.7453844721348,307.5947610997214,308.95499665525864,54864500
2020-02-12,310.11297607421875,310.32434447195686,309.20307663273474,309.5706994550747,43992700
2020-02-13,309.7821044921875,310.7563176199279,308.4034978343105,308.6792079467562,54501900
2020-02-14,310.27838134765625,310.3978650676713,308.9916875317664,310.1956683217585,64582200
2020-02-18,309.4788513183594,310.34278047914535,308.0818451616025,309.2766545350302,57226200
2020-02-19,310.9585266113281,311.6386302806508,310.168138892691,310.45304870269507,48814700
2020-02-20,309.6810302734375,311.2342627359956,306.6756497102531,310.4070762759255,74163400
2020-02-21,306.4918212890625,308.6332444766191,305.6646349127194,308.32076368797004,113788200
2020-02-24,296.326904296875,306.56534134772437,295.242379126836,296.9886365837535,161088400
2020-02-25,287.34759521484375,298.3396785364402,286.4652947464969,297.7239165603431,218913200
2020-02-26,286.29071044921875,292.3657582898536,285.5554646270687,288.75381480603454,194773800
2020-02-27,273.4328918457031,286.3458314663053,273.4328918457031,280.7394913284568,284353500
2020-02-28,272.28399658203125,273.7820868720151,262.43155386441146,265.3358217303772,384975800
2020-03-02,284.0757141113281,284.1400558268676,270.6296979549401,274.07621495820456,238703600
2020-03-03,275.9419250488281,288.4412988396092,273.48802067885777,284.45253324163696,300139100
2020-03-04,287.5406799316406,287.76127615182116,278.7819301488345,281.3461473436938,176613400
2020-03-05,277.9822998046875,283.50592733790194,275.73059193007856,280.29837745012924,186366800
2020-03-06,273.3869323730469,274.6001131820452,266.7420650354268,269.42573743951846,228667200
2020-03-09,252.036865234375,261.19080507877885,251.31999093417147,253.02024994580484,309417300
2020-03-10,265.0785217285156,265.1704064081337,251.36596739988065,261.6044337945912,276444100
2020-03-11,252.1563262939453,259.122900738725,248.9579769083734,257.9832615827463,255316300
2020-03-12,228.03076171875,245.07953571162304,227.6355538003914,235.28223310787604,392220700
2020-03-13,247.52430725097656,249.50950476910805,228.40762001575544,241.79848253829408,329566100
2020-03-16,220.43922424316406,236.1093763665513,218.15073199673313,221.66157654995334,297240000
2020-03-17,232.34120178222656,235.43848125738805,217.8842157567262,225.2092003066649,262070500
2020-03-18,220.5771026611328,228.26972462878717,209.566632879994,217.1305854320526,327597100
2020-03-19,221.04583740234375,227.35986688637573,213.42674235496122,219.88781259153706,289322000
2020-03-20,211.51998901367188,226.00651784378636,211.24264355315836,224.21303318635862,347158800
2020-03-23,206.11181640625,212.33353276775054,201.77602391744185,210.95607325737478,326025200
2020-03-24,224.78623962402344,225.6645027413418,216.1424011076223,216.71557147355358,235494500
2020-03-25,228.1513214111328,236.9893197754523,221.64301955671172,226.3763299962907,299430300
2020-03-26,241.4730224609375,242.95216075551693,230.2406361801647,230.6751408127049,257632800
2020-03-27,234.2805938720703,241.11246767141768,232.0895913168638,234.14192818112465,224341200
2020-03-30,241.8889923095703,242.6100820215061,234.38225627948205,236.38836628385474,171369500
2020-03-31,238.28355407714844,243.44211482260806,236.8691077265585,240.8813279091943,194881100
2020-04-01,227.55970764160156,238.20043289922268,225.47963713626194,229.2515000120435,189554600
2020-04-02,232.8106689453125,233.59646466353252,226.11746118700083,226.67215213452525,177660400
2020-04-03,229.44564819335938,234.1882135021691,226.69995397314125,231.8215436343674,135561200
2020-04-06,244.85659790039062,246.83498925904706,229.42711173202002,238.36678923826204,188061200
2020-04-07,245.10621643066406,254.2585190820614,244.8843513182866,253.5004423310972,201427200
2020-04-08,253.333984375,255.15520198142082,245.21709175931838,247.7224121110879,153774500
2020-04-09,257.18914794921875,259.96257501604964,254.6653191618094,256.6159493233561,189999200
2020-04-13,254.8409423828125,256.55122785248756,250.9119211583387,256.2091764011037,114839100
2020-04-14,262.35687255859375,263.3830266748536,254.70221764081344,259.75909903178814,134143400
2020-04-15,256.7823791503906,262.4956321984379,254.65606811529943,256.6067265105817,121775000
2020-04-16,258.021240234375,258.88099608663737,254.93349398344452,258.06745274622136,131798300
2020-04-17,264.9917297363281,265.6018588746599,261.07193356078005,263.8268813194483,146684800
2020-04-20,260.3230895996094,265.1303741668698,260.1012244762075,261.2660445868246,100109300
2020-04-21,252.41883850097656,257.04121673496064,251.4758552850788,255.83015589467746,126385700
2020-04-22,258.021240234375,259.7777388760369,255.9966356708109,257.32788328007956,92951600
2020-04-23,258.0026550292969,262.49562141188665,257.6975904748147,259.3061690966915,104709700
2020-04-24,261.598876953125,262.2737543371694,257.4664696510414,259.5280605161507,85063200
2020-04-27,265.37066650390625,266.49852768084895,263.12419793259676,263.58643565736423,77896600
2020-04-28,264.1505126953125,269.39227532123107,263.84541984496923,269.0409699603586,105270000
2020-04-29,271.06549072265625,272.60937743352775,268.4769702518769,269.5123784401886,118745600
2020-04-30,268.54168701171875,271.16719437484034,266.7944145558796,269.6787739628933,122901700
2020-05-01,261.4324645996094,268.70808310699516,260.25836252346903,263.76213297084365,125180000
2020-05-04,262.153564453125,262.45862900123217,258.04889034750136,259.5372825883171,80873200
2020-05-05,264.5756530761719,267.40454592906667,262.2829436148126,264.99167834802574,79569900
2020-05-06,262.7821960449219,266.6742305212483,262.347691373259,266.28596655842614,73632600
2020-05-07,265.9530944824219,267.8944985976931,265.44464426276255,266.01781453590644,75250400
2020-05-08,270.3536376953125,270.8251292636539,267.9684749277972,269.1055900344271,76452400
2020-05-11,270.4091491699219,271.7958627554087,267.9870272879799,268.4122782212897,79514200
2020-05-12,265.0194396972656,272.01769873325276,264.88074578338063,271.60170162986907,95870800
2020-05-13,260.3323059082031,265.5001205570655,257.8916770510911,264.4554587301692,144721100
2020-05-14,263.44781494140625,263.5772268557951,252.372587009334,257.8824819420396,121977900
2020-05-15,264.6588134765625,264.70502596095486,260.091902793704,261.0441113167352,111146300
2020-05-18,272.7201843261719,274.3380159281068,270.5939026487265,270.9174463989182,119703800
2020-05-19,269.91912841796875,273.83889573576965,269.90064906349505,272.1193847488021,95189300
2020-05-20,274.5044860839844,275.3734952560476,273.2472130256172,273.478331886001,85861700
2020-05-21,272.6093444824219,275.18863906983813,271.5092163621271,274.37509610228363,78293900
2020-05-22,273.1270751953125,273.3027278174098,271.07473822222124,272.32278593242313,63958200
2020-05-26,276.4920959472656,279.3672291714681,273.1454994439647,279.1268565344075,88951400
2020-05-27,280.6060485839844,280.6430355037132,274.44903834217877,279.3025347378912,104817400
2020-05-28,280.0884094238281,283.6661259386108,279.4135319930636,281.64152185907705,90405200
2020-05-29,281.3364562988281,281.92810608566464,276.85274343949885,279.616916798666,119090800
2020-06-01,282.4735107421875,283.0836680290045,280.17157550632606,280.68927958979083,55758300
2020-06-02,284.8124084472656,284.8586491513497,282.0574894281056,283.3979620169692,74267200
2020-06-03,288.602783203125,289.5642457172561,286.53196690754055,286.80929829971484,92567600
2020-06-04,287.8447265625,289.3608801796868,285.73692319641066,287.6136076486184,75794400
2020-06-05,295.22198486328125,297.0062156989103,293.2066351666821,293.27135521881405,150524700
2020-06-08,298.7904968261719,298.9846287841616,295.49011247657876,296.03554964324275,73641200
2020-06-09,296.5626220703125,298.864557957235,295.2406001352539,296.109609709587,77479200
2020-06-10,294.90771484375,298.0417006533348,294.1866250080655,297.1449581975567,95000800
2020-06-11,277.906494140625,288.57494653192356,277.35183155527255,287.9370563460223,209243600
2020-06-12,281.2347412109375,285.73693329848106,276.04844614220104,284.96037710591537,194678900
2020-06-15,283.8601989746094,284.9973140281865,274.3288585585223,275.51218610329806,135782700
2020-06-16,289.32379150390625,291.8014068310796,284.43333731924366,291.65348739268507,137627500
2020-06-17,288.1220703125,290.645898869627,287.38247290117295,290.35005990509615,83398900
2020-06-18,288.2330322265625,288.7137494333171,286.1344825470021,286.5967203963752,80828700
2020-06-19,286.585693359375,291.9155242404037,284.62645174403957,291.72053803026614,135549600
2020-06-22,288.4243469238281,288.823614062595,284.8308860010949,285.98227154987967,74649400
2020-06-23,289.7520446777344,292.0269880337447,289.3434831906394,291.0891498469716,68471200
2020-06-24,282.36083984375,288.3221026445459,280.5130470171993,287.6999659204182,132813500
2020-06-25,285.3879699707031,285.65725563286617,279.7517017632359,281.78521514723536,89468000
2020-06-26,278.609619140625,284.496613106318,278.02466021675593,284.28303778251814,127961000
2020-06-29,282.7044372558594,282.8437131584,277.56959117820196,279.8723900022034,79773300
