,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
13,-22,635,643,70.58675195786536,63.68003470394521,77.574656109998,63.68003470394521,148.99391027968346,2.9538693065598327,0.09594506446905147,2001-09-27,2001-10-05,8 days,
14,-25,644,672,63.32331541086673,52.97654993329319,68.40356114089026,53.376095933456334,255.7616403057345,2.9074966336039982,0.16155922263150735,2001-10-06,2001-11-03,28 days,
15,-33,675,722,49.04682988021338,42.225199662338625,53.55953979024022,42.225199662338625,222.10182021496271,3.0119769749042162,0.13722310299706816,2001-11-06,2001-12-23,47 days,
16,33,772,785,49.170984863840005,53.476938826115706,46.215672191425654,53.476938826115706,138.70909927332963,3.3873814817685384,0.0854834624570807,2002-02-11,2002-02-24,13 days,
17,30,786,800,54.52195845996122,58.574921437771245,51.00319973057108,58.574921437771245,118.1959829373688,3.3929063969319744,0.0722620061567592,2002-02-25,2002-03-11,14 days,
18,27,816,821,61.47602558148666,68.23794436172481,58.674227454537515,67.19252293312569,179.06952987796348,3.50227718846671,0.10788278434662192,2002-03-27,2002-04-01,5 days,
19,23,823,847,72.2303822520824,86.2118142237712,69.30860165733587,81.07561344934835,317.9287648298976,3.644170518944633,0.19137362068735864,2002-04-03,2002-04-27,24 days,
20,20,858,868,86.13851068497156,96.25234702806047,83.38084394309956,96.04938163613679,198.62890970751747,3.6478171542606406,0.11529622936827248,2002-05-08,2002-05-18,10 days,
21,18,871,872,99.7722850049153,97.1384795745063,,112.16758049233988,-50.952891509791556,3.544393762429589,-0.028371768721634067,2002-05-21,2002-05-22,1 days,
22,18,873,880,95.58465265946694,111.1699357219187,92.41128219612494,108.12251112036509,276.8135125332668,3.7215825908649416,0.16088909721583056,2002-05-23,2002-05-30,7 days,
23,16,881,889,109.67071079370488,126.89127583733251,105.79323180410827,123.76924633463597,271.74404891194547,3.7849917860965983,0.15486361795305761,2002-05-31,2002-06-08,8 days,
24,14,890,893,129.701043140757,140.64225910300988,121.25180548981359,140.64225910300988,149.39221724012742,3.784806231412736,0.08227283606677419,2002-06-09,2002-06-12,3 days,
25,13,894,904,144.6867923813953,156.4273201383158,132.9643181952428,156.4273201383158,148.71237737721026,3.914483462756244,0.07906328875027109,2002-06-13,2002-06-23,10 days,
26,11,914,933,173.4049233374712,165.87992369107528,,188.68024281342485,-86.50712942766904,3.7321333173140108,-0.045352140770071554,2002-07-03,2002-07-22,19 days,
27,-13,981,1024,142.012865174164,151.89344954771755,,118.27230930104554,-132.26837894758057,3.8207820913844603,-0.07164485186463557,2002-09-08,2002-10-21,43 days,
28,-14,1073,1087,126.88776364492934,138.82444419521204,138.82444419521204,112.40601979157847,-170.8334986137198,3.7199709097619795,-0.09616682024808039,2002-12-09,2002-12-23,14 days,
29,13,1095,1097,140.9833778036535,134.70596921674152,,152.83931785633573,-85.1902731411208,3.5839615112651355,-0.0464813514615803,2002-12-31,2003-01-02,2 days,
30,10,1122,1133,182.47335752477167,197.48579229369045,171.03233129619906,197.48579229369045,146.3247561910032,3.799591498184621,0.08018965517809296,2003-01-27,2003-02-07,11 days,
31,9,1134,1141,197.16092584802925,219.52966603036853,188.31911549969516,219.10162799598774,197.56844631414793,3.7502153269055802,0.111340771484211,2003-02-08,2003-02-15,7 days,
32,8,1142,1147,219.21069853281134,208.42534466920324,,240.40342775591307,-89.70391925448087,3.4210883456161163,-0.05115165446695453,2003-02-16,2003-02-21,5 days,
33,7,1176,1178,255.3716190164855,249.91074692881324,,296.4366660630744,-41.76308117532299,3.536976561617091,-0.02336263707218159,2003-03-22,2003-03-24,2 days,
34,6,1218,1229,269.77673819534806,320.4118346220915,261.3916723851663,305.4356506484411,300.26944712355584,3.5411314369046374,0.18550490375374007,2003-05-03,2003-05-14,11 days,
35,6,1230,1231,317.020021565622,306.9549630453644,,352.00058125763445,-64.13420102921148,3.7438499076659184,-0.033717219032666064,2003-05-15,2003-05-16,1 days,
36,6,1232,1235,307.844124295007,339.61337091831723,294.4677922552435,339.61337091831723,186.7307347685813,3.884744971279945,0.10109593353249419,2003-05-17,2003-05-20,3 days,
37,5,1236,1253,354.8868351825901,324.0017683213857,324.0017683213857,375.9496927397181,-157.81977732354184,3.3944430175198796,-0.0889409026639961,2003-05-21,2003-06-07,17 days,
38,-7,1358,1376,241.25937693710597,206.26705608762342,268.7803807952439,206.26705608762342,241.81356091520476,3.132685031173106,0.14318529233980126,2003-09-20,2003-10-08,18 days,
