config,total_trades,win_rate,profit_factor,return,max_dd,expectancy,sharpe,time_near_ema,reversal_rate,avg_adx_near,squeeze_pct_near
15m EMA50,150,56.00000000000001,0.9592818100059946,-7.10300386332854,-7.469279171592354,-0.015365980026200099,-0.270543217772548,78.86,9.079381181841239,17.85221953128397,1.6738523966522953
15m EMA200,95,49.473684210526315,0.7374169356194877,-7.10300386332854,-8.826476397664502,-0.12535787548484184,-2.2121568524990374,49.36,8.14424635332253,19.11430558919046,1.3776337115072934
1h EMA20,137,54.01459854014598,0.8603084523428616,-7.10300386332854,-8.602073861531528,-0.0624194324294175,-1.0833363788065955,72.28,8.965135583840619,18.05032319958024,1.5771997786386276
1h EMA50,98,51.02040816326531,0.784218859573796,-7.10300386332854,-8.044331784100232,-0.09821767588240982,-1.7566524848946012,50.88,7.979559748427673,19.071262066419763,1.4544025157232705
