timestamp,Open,High,Low,Close,Volume,ATR,SMA_Vol
2024-01-01 00:00:00+00:00,42274.085,42526.985,42264.413,42469.885,2.3794e-05,,
2024-01-01 01:00:00+00:00,42459.8,42761.559,42416.165,42601.253,0.000364124,,
2024-01-01 02:00:00+00:00,42618.355,42630.539,42503.8755,42563.6835,0.000126683,,
2024-01-01 03:00:00+00:00,42562.55,42586.47,42244.16,42332.0085,0.000223498,,
2024-01-01 04:00:00+00:00,42323.305,42388.675,42205.5015,42388.675,2.3498e-05,,
2024-01-01 05:00:00+00:00,42374.616,42374.616,42183.9675,42214.8,0.002390907,,
2024-01-01 06:00:00+00:00,42212.57,42434.16,42212.57,42412.35,0.00026784,,
2024-01-01 07:00:00+00:00,42427.154,42506.398,42427.154,42497.371,0.000155402,,
2024-01-01 08:00:00+00:00,42497.6885,42555.1355,42467.2515,42555.1355,2.3498e-05,,
2024-01-01 09:00:00+00:00,42563.286,42691.25,42541.78,42639.755,0.000865423,,
2024-01-01 10:00:00+00:00,42651.9,42742.9,42631.32,42696.4915,0.013696203,,
2024-01-01 11:00:00+00:00,42704.175,42765.22,42609.176,42707.11,0.281225661,,
2024-01-01 12:00:00+00:00,42715.005,42763.1415,42627.265,42646.8785,0.000423498,,
2024-01-01 13:00:00+00:00,42661.835,42778.231,42622.245,42719.63,0.000137328,184.09278571428618,
2024-01-01 14:00:00+00:00,42701.4915,42701.4915,42592.492,42623.73,0.115336611,174.41892857142895,
2024-01-01 15:00:00+00:00,42641.86,42847.065,42599.0795,42787.6845,0.013667504,167.46117857142912,
2024-01-01 16:00:00+00:00,42802.625,42877.4125,42682.8425,42745.45,0.000123498,172.3116428571437,
2024-01-01 17:00:00+00:00,42753.748,42841.835,42713.6,42819.89,0.015283258,157.0205714285725,
2024-01-01 18:00:00+00:00,42835.375,43216.1835,42835.375,43117.101,0.010219545,172.24342857142932,
2024-01-01 19:00:00+00:00,43138.755,43562.767,43128.215,43530.05,0.223942094,189.45475000000027,
2024-01-01 20:00:00+00:00,43543.675,43857.8,43543.675,43697.405,0.260801559,197.03760714285713,0.04472959171428571
2024-01-01 21:00:00+00:00,43717.609,43803.2165,43509.246,43637.795,2.3498e-05,211.31778571428575,0.044729577619047625
2024-01-01 22:00:00+00:00,43652.5,43677.6835,43412.165,43550.0305,0.000523498,224.00596428571433,0.04473716685714285
2024-01-01 23:00:00+00:00,43570.8835,44217.188,43570.8835,44209.9405,0.013842076,260.9836428571429,0.04539028080952381
2024-01-02 00:00:00+00:00,44192.0,45235.8015,44178.976,45097.788,2.166173558,328.5011785714284,0.14853075985714287
