,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
16,455,33882,33882,2.191923093633787,2.1879927759106157,2.1879927759106157,2.2034791215665717,-2.18686690817149,0.3985723441285407,-0.0021927324508052336,2023-11-12 18:00:00,2023-11-12 18:00:00,0 days 00:00:00,
17,454,33885,33890,2.1959042946658878,2.202278720881063,2.186792375225107,2.202278720881063,2.4946344838779027,0.39935501781166316,0.0025022901159277708,2023-11-12 21:00:00,2023-11-13 02:00:00,0 days 05:00:00,
18,453,33891,33891,2.1977064405196747,2.194880391334767,2.194880391334767,2.210366736990723,-1.6781686477290987,0.39796836696601245,-0.001685651223919824,2023-11-13 03:00:00,2023-11-13 03:00:00,0 days 00:00:00,
19,454,33904,33905,2.19400241540925,2.1897027044379986,,2.2066823953495978,-2.3501092058302016,0.3980404248821302,-0.0023593647659021265,2023-11-13 16:00:00,2023-11-13 17:00:00,0 days 01:00:00,
20,455,33910,33916,2.1911545319884094,2.201115015243793,2.184214892517798,2.199701238173754,4.1323233524014436,0.39969652879813045,0.0041448602612685825,2023-11-13 22:00:00,2023-11-14 04:00:00,0 days 06:00:00,
21,452,33920,33921,2.205035982692693,2.199581596522076,2.199581596522076,2.215067942178032,-2.8635599782799486,0.3981774291610152,-0.0028731094350323344,2023-11-14 08:00:00,2023-11-14 09:00:00,0 days 01:00:00,
22,452,33929,33929,2.202290788195015,2.1963678848768384,2.1963678848768384,2.2118542305327944,-3.0747910438615578,0.39763874404569555,-0.003088890481336736,2023-11-14 17:00:00,2023-11-14 17:00:00,0 days 00:00:00,
23,452,33930,33932,2.201063980669207,2.197134478227826,2.197134478227826,2.212620823883782,-2.1737322441886118,0.39759714068429175,-0.00218491701077148,2023-11-14 18:00:00,2023-11-14 20:00:00,0 days 02:00:00,
24,451,33933,33936,2.2070429567033667,2.199337128388379,2.199337128388379,2.214823474044335,-3.872784053734766,0.3974554836752755,-0.003890773537472365,2023-11-14 21:00:00,2023-11-15 00:00:00,0 days 03:00:00,
25,452,33950,33956,2.1995348263536387,2.209448954534729,2.193962608878773,2.209448954534729,4.082613804060546,0.3985721337923085,0.0041064734764334416,2023-11-15 14:00:00,2023-11-15 20:00:00,0 days 06:00:00,
26,450,33957,33957,2.2118131068067006,2.216468889341601,2.200982543685645,2.216468889341601,1.6965567610518824,0.39854537965334713,0.0017045410048744916,2023-11-15 21:00:00,2023-11-15 21:00:00,0 days 00:00:00,
27,450,33958,33960,2.211566444981229,2.2070253310048145,2.2070253310048145,2.2225116766607704,-2.4411745492253396,0.39767325983874396,-0.0024529366250435605,2023-11-15 22:00:00,2023-11-16 00:00:00,0 days 02:00:00,
28,449,33966,33976,2.2155905593196796,2.2089790829298943,2.2089790829298943,2.2244654285858503,-3.3658792528876207,0.3973263538740118,-0.0033834727660768667,2023-11-16 06:00:00,2023-11-16 16:00:00,0 days 10:00:00,
29,450,33987,33993,2.2125343384892893,2.2084938125584133,2.2084938125584133,2.2239801582143692,-2.2161292024884953,0.3978925335942932,-0.0022258328268242914,2023-11-17 03:00:00,2023-11-17 09:00:00,0 days 06:00:00,
30,450,33997,34004,2.2090459895917136,2.2206122366954073,2.2051258910394513,2.2206122366954073,4.8061419562963215,0.3986692403658409,0.00483480901201619,2023-11-17 13:00:00,2023-11-17 20:00:00,0 days 07:00:00,
31,450,34005,34007,2.2132626731652123,2.209153644117769,2.209153644117769,2.224639989773725,-2.2470805399049345,0.3980174685554683,-0.0022561769876860258,2023-11-17 21:00:00,2023-11-17 23:00:00,0 days 02:00:00,
32,451,34013,34015,2.208985076235386,2.204497037906971,2.204497037906971,2.219983383562927,-2.422201372810976,0.3980960866956406,-0.002431313280032082,2023-11-18 05:00:00,2023-11-18 07:00:00,0 days 02:00:00,
33,451,34036,34036,2.2039613631443484,2.2023333158967775,2.2023333158967775,2.2178196615527335,-1.1316970887039988,0.3974477800495096,-0.0011385436357192727,2023-11-19 04:00:00,2023-11-19 04:00:00,0 days 00:00:00,
34,450,34038,34043,2.210612554856826,2.218677829652228,2.2031869636638444,2.2186733093198003,3.2307375233249753,0.3986361346058148,0.003247704670240063,2023-11-19 06:00:00,2023-11-19 11:00:00,0 days 05:00:00,
35,449,34052,34056,2.215113795307251,2.211152780326738,2.211152780326738,2.226639125982694,-2.1759744647421395,0.3974787384919322,-0.0021878191115537447,2023-11-19 20:00:00,2023-11-20 00:00:00,0 days 04:00:00,
36,449,34057,34068,2.215929961282939,2.2264083661916874,2.2109220205357314,2.2264083661916874,4.305881822220763,0.3989219818072215,0.00432772579044026,2023-11-20 01:00:00,2023-11-20 12:00:00,0 days 11:00:00,
37,448,34071,34072,2.2216069988356266,2.21907349512678,2.21907349512678,2.234559840782736,-1.5328946338223763,0.39788497225903163,-0.0015401643087335334,2023-11-20 15:00:00,2023-11-20 16:00:00,0 days 01:00:00,
38,447,34073,34086,2.226282347048483,2.235226228229883,2.219739882573927,2.235226228229883,3.599056021455812,0.3988588666298859,0.0036166030229806503,2023-11-20 17:00:00,2023-11-21 06:00:00,0 days 13:00:00,
39,446,34087,34090,2.231702362337732,2.2266115607073376,2.2266115607073376,2.2420979063632935,-2.668179129091589,0.39768160193562024,-0.002680673066428508,2023-11-21 07:00:00,2023-11-21 10:00:00,0 days 03:00:00,
40,446,34099,34109,2.2338347964152367,2.2431025427842535,2.2276161971282975,2.2431025427842535,3.7340720699248657,0.3993428106565946,0.003747975864022049,2023-11-21 19:00:00,2023-11-22 05:00:00,0 days 10:00:00,
41,448,34120,34128,2.2227974614471333,2.234244545906289,2.218758200250333,2.234244545906289,4.7289428738428665,0.39935096385886665,0.0047488249562840385,2023-11-22 16:00:00,2023-11-23 00:00:00,0 days 08:00:00,
42,447,34129,34132,2.2290125860208416,2.2248076854987033,2.2248076854987033,2.2402940311546593,-2.277762065669662,0.39817153227384733,-0.0022860636177648407,2023-11-23 01:00:00,2023-11-23 04:00:00,0 days 03:00:00,
43,447,34136,34156,2.228849144227042,2.2402179829090434,2.2247316372530874,2.2402179829090434,4.682336289688582,0.39953460116596606,0.004699746182331519,2023-11-23 08:00:00,2023-11-24 04:00:00,0 days 20:00:00,
44,446,34158,34178,2.234723738373592,2.230389720845944,2.230389720845944,2.2458760665019,-2.3312599378933183,0.3982881205623826,-0.00233900957408536,2023-11-24 06:00:00,2023-11-25 02:00:00,0 days 20:00:00,
45,446,34183,34199,2.2322241075860414,2.2268080043988188,2.2268080043988188,2.2422943500547747,-2.8133276858903433,0.39774566438904957,-0.002825840643949118,2023-11-25 07:00:00,2023-11-25 23:00:00,0 days 16:00:00,
46,447,34200,34213,2.2295553773806827,2.2276630219242572,2.2276630219242572,2.243149367580213,-1.2443582139200198,0.39847532489786164,-0.0012485893665295778,2023-11-26 00:00:00,2023-11-26 13:00:00,0 days 13:00:00,
47,447,34215,34225,2.229245067686085,2.2405965837661577,2.2251102381102017,2.2405965837661577,4.674523844152706,0.3996038436398305,0.004691071386169847,2023-11-26 15:00:00,2023-11-27 01:00:00,0 days 10:00:00,
48,445,34227,34230,2.2375827380571907,2.235256333991681,2.235256333991681,2.250742679647637,-1.4333324865640977,0.3980826774123496,-0.0014394872757715438,2023-11-27 03:00:00,2023-11-27 06:00:00,0 days 03:00:00,
49,446,34244,34251,2.2333845211447976,2.2288361013257143,2.2288361013257143,2.2443224469816703,-2.4266253188355087,0.3980300795243697,-0.002436151899534301,2023-11-27 20:00:00,2023-11-28 03:00:00,0 days 07:00:00,
50,446,34254,34256,2.2346515763282047,2.2266731876154973,2.2266731876154973,2.2421595332714532,-3.956311534811277,0.3979501689437782,-0.0039695913937830484,2023-11-28 06:00:00,2023-11-28 08:00:00,0 days 02:00:00,
51,448,34266,34282,2.224147002049904,2.2197822921628836,2.2197822921628836,2.2352686378188396,-2.3535660941466654,0.39817606476146583,-0.0023620272135884673,2023-11-28 18:00:00,2023-11-29 10:00:00,0 days 16:00:00,
52,448,34290,34298,2.2218628727146172,2.2310967531217942,2.2156104074658383,2.2310967531217942,3.7377932399403475,0.3989851824749425,0.003755087041810044,2023-11-29 18:00:00,2023-11-30 02:00:00,0 days 08:00:00,
53,446,34299,34306,2.230434487822972,2.225179920842747,2.225179920842747,2.240666266498703,-2.7409776784332704,0.3974408052529822,-0.002755377885120705,2023-11-30 03:00:00,2023-11-30 10:00:00,0 days 07:00:00,
54,448,34312,34312,2.2237478685989416,2.2174374211610726,2.2174374211610726,2.2329237668170285,-3.225010654127816,0.3979302019624973,-0.0032371855629282345,2023-11-30 16:00:00,2023-11-30 16:00:00,0 days 00:00:00,
55,448,34313,34315,2.2232320703973953,2.2184800576198827,2.2184800576198827,2.2339664032758386,-2.5268791309960346,0.39797740667034814,-0.002537006945077066,2023-11-30 17:00:00,2023-11-30 19:00:00,0 days 02:00:00,
56,448,34320,34335,2.2195859259423854,2.2275802194831016,2.2120938738271456,2.2275802194831016,3.18297741961075,0.3984660866301236,0.003200984574911109,2023-12-01 00:00:00,2023-12-01 15:00:00,0 days 15:00:00,
57,448,34338,34338,2.220727558322668,2.2150689974630997,2.2150689974630997,2.2305553431190557,-2.932482636485096,0.3974473713984048,-0.0029475565997251763,2023-12-01 18:00:00,2023-12-01 18:00:00,0 days 00:00:00,
58,448,34339,34339,2.218209713323423,2.2151447370780737,2.2151447370780737,2.2306310827340297,-1.7703379166724078,0.3972285587559741,-0.001781457862930768,2023-12-01 19:00:00,2023-12-01 19:00:00,0 days 00:00:00,
59,448,34344,34357,2.2191264416307748,2.229964771669016,2.21447842601306,2.229964771669016,4.456933284420444,0.39863857271166125,0.0044830756864266425,2023-12-02 00:00:00,2023-12-02 13:00:00,0 days 13:00:00,
60,446,34372,34375,2.231217301178402,2.2278980362746266,2.2278980362746266,2.2433843819305825,-1.8781452351845536,0.3977530881008101,-0.001887349999052855,2023-12-03 04:00:00,2023-12-03 07:00:00,0 days 03:00:00,
61,446,34377,34381,2.228230252219591,2.224676365022409,2.224676365022409,2.240162710678365,-1.9822329602011948,0.3971992702579864,-0.0019946181577075606,2023-12-03 09:00:00,2023-12-03 13:00:00,0 days 04:00:00,
62,447,34384,34388,2.2255660256555,2.2222011267809103,2.2222011267809103,2.2376874724368663,-1.9017401803694534,0.3976303834278151,-0.0019116270899327344,2023-12-03 16:00:00,2023-12-03 20:00:00,0 days 04:00:00,
63,448,34400,34403,2.221743325140008,2.233018740854885,2.217532395198929,2.233018740854885,4.652239559151804,0.39914668111314244,0.0046740157533831745,2023-12-04 08:00:00,2023-12-04 11:00:00,0 days 03:00:00,
64,446,34404,34405,2.229629769486513,2.2223431457566813,2.2223431457566813,2.2378294914126373,-3.646950167544526,0.39711598403969295,-0.003667433232542106,2023-12-04 12:00:00,2023-12-04 13:00:00,0 days 01:00:00,
65,446,34409,34412,2.229615542407954,2.2249836701856642,,2.2409606300411156,-2.463165260904592,0.39735024976335076,-0.00247701541353807,2023-12-04 17:00:00,2023-12-04 20:00:00,0 days 03:00:00,
66,450,34427,34431,2.211813875374458,2.2236123911099748,2.208126045454019,2.2236123911099748,4.910143716998922,0.3991883639835989,0.004933249856013486,2023-12-05 11:00:00,2023-12-05 15:00:00,0 days 04:00:00,
67,449,34432,34432,2.217086302834183,2.2154484544617743,2.2154484544617743,2.2309348001177303,-1.1334355404167635,0.39804162120517694,-0.0011385913668047034,2023-12-05 16:00:00,2023-12-05 16:00:00,0 days 00:00:00,
68,449,34434,34439,2.217476050046855,2.213893586179821,2.213893586179821,2.2293799318357768,-2.006463269631562,0.39793699333315546,-0.0020152361033099644,2023-12-05 18:00:00,2023-12-05 23:00:00,0 days 05:00:00,
69,448,34445,34447,2.21912798672706,2.213312904616853,2.213312904616853,2.228799250272809,-3.002303489237043,0.39714670386441464,-0.003019911572725285,2023-12-06 05:00:00,2023-12-06 07:00:00,0 days 02:00:00,
70,447,34451,34460,2.224237972135024,2.2153416101250905,2.2153416101250905,2.2308279557810464,-4.373572233094373,0.3968984146540543,-0.004398934848231963,2023-12-06 11:00:00,2023-12-06 20:00:00,0 days 09:00:00,
71,450,34467,34469,2.210057456902545,2.205540826228733,2.205540826228733,2.221027171884689,-2.4298876486972274,0.39740384548181507,-0.002443262419976275,2023-12-07 03:00:00,2023-12-07 05:00:00,0 days 02:00:00,
72,450,34471,34474,2.2091470030156937,2.20443993737562,2.20443993737562,2.219926283031576,-2.515402362668345,0.39722282463521824,-0.002530290207270632,2023-12-07 07:00:00,2023-12-07 10:00:00,0 days 03:00:00,
73,449,34498,34503,2.211763187434661,2.2032389846562017,,2.2199309778002303,-4.223834242582,0.3964671950537595,-0.0042532596917794485,2023-12-08 10:00:00,2023-12-08 15:00:00,0 days 05:00:00,
74,450,34507,34507,2.2051232423863927,2.201239822395933,2.201239822395933,2.216726168051889,-2.1441116715373303,0.39657267583040934,-0.0021607375550855173,2023-12-08 19:00:00,2023-12-08 19:00:00,0 days 00:00:00,
75,450,34509,34513,2.2049609314449707,2.215756326079982,2.200269980424026,2.215756326079982,4.460063032577805,0.3978645531772458,0.00449497813868788,2023-12-08 21:00:00,2023-12-09 01:00:00,0 days 04:00:00,
76,449,34514,34539,2.214055663924766,2.2238218316103975,2.2083354859544415,2.2238218316103975,3.9864878917495057,0.3985213990990577,0.004010103418441409,2023-12-09 02:00:00,2023-12-10 03:00:00,1 days 01:00:00,
77,447,34542,34542,2.2207078553329906,2.2169202958321823,2.2169202958321823,2.2324066414881383,-2.089763053575492,0.3967239567141665,-0.0021052229449335857,2023-12-10 06:00:00,2023-12-10 06:00:00,0 days 00:00:00,
78,446,34551,34552,2.226887956715078,2.23602582038429,2.220539474728334,2.23602582038429,3.6773952875513323,0.39809190891726365,0.003702602499119476,2023-12-10 15:00:00,2023-12-10 16:00:00,0 days 01:00:00,
