Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,RSI_14,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,SMA_20,SMA_50,EMA_12,EMA_26,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,CCI_14,ATR_14,OBV,AD
2024-01-03 00:00:00-05:00,460.43754654015044,461.1814128694219,458.2255717162588,458.8323974609375,103585900,0.0,0.0,0.0,57.790758815351666,6.538974041783149,7.587092834765822,-1.048118792982673,443.3246749437751,458.0496658325195,472.7746567212639,0.5265783399912425,0.5265783399912425,458.0496658325195,440.27189270019534,461.3193966708918,454.78042262910867,42.76066013793335,68.49128770713777,-57.23933986206665,16.961162794683,3.796180772717496,1183683800,838915614.8704033
2024-01-04 00:00:00-05:00,458.3527850038454,460.9562872853515,457.1293363679507,457.3544616699219,84232200,0.0,0.0,0.0,55.00358209487325,5.7383144830552055,7.217337164423699,-1.4790226813684937,445.17686907636596,458.66255340576174,472.1482377351575,0.451500728332024,0.451500728332024,458.66255340576174,441.22163818359377,460.7094066707426,454.9710921876874,2.1905767376865426,39.63360326962156,-97.80942326231346,0.043392171686618256,3.798378640194873,1099451600,764593549.5285058
2024-01-05 00:00:00-05:00,457.5600069515087,460.44735777003535,456.5225248654525,457.98089599609375,86118900,0.0,0.0,0.0,55.972822734274196,5.095595179779934,6.792988767494947,-1.6973935877150126,447.88038142621645,459.39644317626954,470.91250492632264,0.4385403095737453,0.4385403095737453,459.39644317626954,442.122109375,460.2896357977197,455.1940406179398,13.399467437958743,19.45023477119288,-86.60053256204125,-12.406445938835322,3.8074110876511567,1185570500,742473969.0490543
2024-01-08 00:00:00-05:00,458.47999623098605,464.66575926813886,458.3527528026961,464.5189514160156,74879100,0.0,0.0,0.0,64.55450535310288,5.055524987865454,6.445496011569048,-1.3899710237035947,450.17007965139123,460.2881088256836,470.40613799997595,0.709074441151131,0.709074441151131,460.2881088256836,443.2718780517578,460.94029973899603,455.8847747511306,73.47091212453358,29.68698543339296,-26.529087875466413,42.98118363649553,4.012943386536439,1260449600,813870468.5162985
2024-01-09 00:00:00-05:00,461.84692469392405,464.8419243265166,461.337980854892,463.8142395019531,65931400,0.0,0.0,0.0,63.12623894800886,4.910301807461792,6.138457170747597,-1.228155363285805,452.3736086594636,461.04851989746095,469.72343113545827,0.659409101062495,0.659409101062495,461.04851989746095,444.5050341796875,461.38244431791253,456.47214251045074,66.99604153280012,51.28880703176415,-33.00395846719988,51.38528836342031,3.976586249757023,1194518200,841127329.5056506
2024-01-10 00:00:00-05:00,464.0883016196984,467.3084266115464,463.80445318872887,466.43731689453125,67310600,0.0,0.0,0.0,66.13010579303817,4.949813446069527,5.900728425811984,-0.950914979742457,454.3971953626215,461.85283813476565,469.3084809069098,0.8074502695390793,0.8074502695390793,461.85283813476565,445.82710815429687,462.16011702200774,457.2103035759382,91.09679296062217,77.18791553931862,-8.903207039377834,99.00210913989407,3.942828190689916,1261828800,874970256.8707528
2024-01-11 00:00:00-05:00,467.44546301044596,467.96420403660454,462.2286911764114,466.2318115234375,77940700,0.0,0.0,0.0,65.67868202076284,4.907968136788099,5.7021763680072075,-0.7942082312191081,456.2457104662879,462.5440383911133,468.8423663159387,0.7927581078930903,0.7927581078930903,462.5440383911133,447.0493475341797,462.78653156068924,457.87856342390114,84.85893121758795,80.98392190367008,-15.14106878241205,85.42571373002397,4.0708770956544305,1183888100,905827500.3630981
2024-01-12 00:00:00-05:00,467.6901735377371,468.4340398986522,465.13562701304636,466.5548095703125,58026400,0.0,0.0,0.0,66.07071385362184,4.845018315457537,5.530744757497274,-0.6857264420397371,456.67665482012154,462.939453125,469.20225142987846,0.788637464382039,0.788637464382039,462.939453125,448.22716064453124,463.3662666390928,458.5212483236353,84.22341471171447,86.72637962997487,-15.77658528828553,108.55874959652228,4.01570108065096,1241914500,897734239.4799871
2024-01-16 00:00:00-05:00,465.1649260825611,466.4862265933185,463.01164473206603,464.8419189453125,85014900,0.0,0.0,0.0,62.02462039042556,4.603843923355726,5.345364590668964,-0.7415206673132388,457.00052900722824,463.1756256103516,469.3507222134749,0.6349204265175481,0.6349204265175481,463.1756256103516,449.28376403808596,463.59329007081897,458.98944614746324,69.84329077092404,79.64187890007548,-30.15670922907596,49.91130333037644,3.9819484919077817,1156899600,902284406.8320843
2024-01-17 00:00:00-05:00,461.79800826828216,462.7474055485689,459.8894165610062,462.2580261230469,68843900,0.0,0.0,0.0,56.4124432836111,4.156301665393187,5.10755200561381,-0.9512503402206232,457.37861423253867,463.3204833984375,469.2623525643363,0.4105957026546295,0.4105957026546295,463.3204833984375,450.1307702636719,463.38786484808486,459.2315631826917,48.15089635204603,67.40586727822819,-51.84910364795397,-46.02212906575214,4.051273769936246,1088055700,947551737.1676729
