Strategy,Trades,Win Rate (%),Profit Factor,Return (%),Max DD (%),Expectancy,Sharpe,EMA Filter
Squeeze+ADX+TTM (Original),181,56.9,1.03,-7.10,-54.98,0.0185,0.92,No
Squeeze+ADX+TTM+EMA15m50,0,0.0,0.00,0.00,0.00,0.0000,0.00,Yes
